Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.0,0.2274603174603174,0.0972136222910216,0.1963492063492063,12.6,0.646817183404489,1.0
Pi3141/DialoGPT-medium-elon-2,0.0,0.2470843776106933,0.0934040527675778,0.1902589807852965,12.0,0.5974851474718796,2.0
microsoft/DialoGPT-large,0.0,0.3156083302886371,0.1315288220551378,0.2556399951284861,8.4,0.3519226228987675,5.0
microsoft/DialoGPT-small,0.0,0.2742857142857143,0.1393939393939393,0.2457142857142857,7.2,0.3979035768782458,4.0
satvikag/chatbot,0.0,0.2689458689458689,0.1428717948717948,0.2274643874643874,9.0,0.5365605589482852,3.0
